target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2257.46	0	0
AT1G18320.1	699	475.469	0	0
AT5G11100.1	1709	1457.46	2	4.30914
AT4G35335.1	1280	1028.46	6	18.3198
AT1G60930.1	3876	3624.46	1	0.866391
AT1G17000.1	2351	2099.46	0	0
AT3G55270.1	3130	2878.46	14	15.273
AT4G16150.1	3181	2929.46	23	24.6546
AT3G18150.1	1370	1118.46	0	0
AT3G52310.1	2443	2191.46	0	0
AT3G08943.1	3165	2913.46	9	9.70042
AT4G15950.1	814	576.009	5	27.2582
AT5G60900.1	2873	2621.46	0	0
AT5G18710.1	1919	1667.46	0	0
AT1G64460.1	2240	1988.46	8	12.6337
AT2G31100.1	1247	995.458	0	0
AT1G60260.1	1634	1382.46	4	9.08584
AT2G06210.1	3579	3327.46	14	13.2121
AT3G57180.1	2232	1980.46	3	4.75677
ATMG01320.1	922	675.326	0	0
AT4G15130.1	1234	982.458	2	6.39253
AT5G39100.1	808	570.898	0	0
AT4G16110.1	2666	2414.46	7	9.10406
AT5G26800.1	637	423.638	3	22.2374
AT4G16360.1	1685	1433.46	15	32.8597
ATMG00060.1	542	351.823	0	0
AT1G76820.1	3857	3605.46	2.75692	2.40116
AT3G05780.1	2775	2523.46	0	0
AT1G24405.1	718	492.141	0	0
AT2G27490.4	843	602.3	0.826287	4.30799
AT2G27490.1	1367	1115.46	2.1736	6.11905
AT2G27490.3	1201	949.458	0	0
AT2G27490.2	1381	1129.46	0.000110054	0.000305981
AT3G13276.1	269	153.364	0	0
AT1G71740.1	393	235.214	0	0
AT1G52920.1	1351	1099.46	0	0
AT2G17370.1	2273	2021.46	6	9.32059
AT4G13615.1	813	575.455	32	174.621
AT3G46680.1	1350	1098.46	0	0
AT1G70830.3	996	744.458	0	0
AT1G70830.2	1329	1077.46	0	0
AT1G70830.5	787	552.519	0	0
AT1G70830.4	1393	1141.46	0	0
AT1G70830.1	1331	1079.46	19	55.2719
AT2G34090.3	1458	1206.46	0	0
AT2G34090.2	1616	1364.46	0	0
AT2G34090.1	1700	1448.46	0	0
AT2G34090.4	1521	1269.46	7	17.3156
AT2G34090.5	1425	1173.46	0	0
AT1G65541.1	340	200.002	0	0
AT2G01050.1	1548	1296.46	0	0
AT2G07751.1	357	211.689	0	0
AT4G20565.1	789	554.519	0	0
AT1G61566.1	551	358.991	0	0
AT4G29530.2	1148	896.458	0	0
AT4G29530.1	1144	892.458	0	0
AT5G09225.1	780	545.946	10	57.5184
AT1G21100.1	1545	1293.46	6.70844	16.2864
AT1G73150.1	2150	1898.46	0	0
AT1G73150.2	1956	1704.46	3	5.52703
AT3G51750.3	654	438.881	0	0
AT3G51750.1	563	368.81	0	0
AT3G51750.2	560	366.439	0	0
AT1G07010.1	1622	1370.46	0	0
AT1G07010.2	1556	1304.46	0.000576581	0.00138799
AT1G07010.3	1542	1290.46	2.99942	7.29879
AT1G32080.1	2009	1757.46	19	33.9489
AT1G16710.5	6346	6094.46	0	0
